TechCSV1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#separator;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;;;;Variable;Variable;Variable;Variable;;;;;;;;;;;;;;;;
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD;;;;;;;;;;;;;;;;
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY;;;;;;;;;;;;;;;;
171;171;-2727,928286;15,5566;75,4609;2,341;;;;0,2222;0,2265;0,1971;14,2047;;;;;;;;;;;;;;;;
171;171;-2727,914879;15,636;74,7274;2,3398;;;;0,222;0,2252;0,197;16,0131;;;;;;;;;;;;;;;;
171;171;-2727,901472;15,7516;76,1482;2,3434;;;;0,2224;0,2186;0,1947;17,0797;;;;;;;;;;;;;;;;
171;171;-2727,888064;15,8789;75,5579;2,3518;;;;0,223;0,2145;0,1911;16,492;;;;;;;;;;;;;;;;
171;171;-2727,874657;16,0201;73,5514;2,3639;;;;0,2237;0,212;0,1865;14,6257;;;;;;;;;;;;;;;;
171;171;-2727,86125;16,2479;73,3614;2,3771;;;;0,2235;0,2043;0,18;11,9846;;;;;;;;;;;;;;;;
171;171;-2727,847843;16,4338;72,4882;2,3943;;;;0,2228;0,195;0,1718;9,6209;;;;;;;;;;;;;;;;
171;171;-2727,834436;16,582;70,9914;2,415;;;;0,2217;0,1843;0,1621;7,5109;;;;;;;;;;;;;;;;
171;171;-2727,821029;16,6639;69,5723;2,4402;;;;0,2216;0,1696;0,1496;5,5099;;;;;;;;;;;;;;;;
171;171;-2727,807622;16,8089;68,1426;2,4678;;;;0,2217;0,1546;0,136;3,5827;;;;;;;;;;;;;;;;
171;171;-2727,794215;17,0223;66,712;2,4984;;;;0,2219;0,1395;0,1212;1,7438;;;;;;;;;;;;;;;;
171;171;-2727,780808;17,2109;65,927;2,5231;;;;0,2215;0,1244;0,1067;0,6258;;;;;;;;;;;;;;;;
171;171;-2727,7674;17,3914;65,6363;2,5421;;;;0,221;0,1132;0,0945;0,01;;;;;;;;;;;;;;;;
171;171;-2727,753993;17,5618;65,9661;2,554;;;;0,2205;0,1072;0,0857;0,01;;;;;;;;;;;;;;;;
171;171;-2727,740586;17,8137;64,0555;2,5577;;;;0,221;0,1025;0,0818;0,01;;;;;;;;;;;;;;;;
171;171;-2727,727179;18,0619;62,1172;2,5599;;;;0,2212;0,1004;0,0796;0,01;;;;;;;;;;;;;;;;
171;171;-2727,713772;18,2912;60,514;2,5611;;;;0,2209;0,1023;0,0794;0,01;;;;;;;;;;;;;;;;
171;171;-2727,700365;18,4283;59,6822;2,5589;;;;0,2207;0,102;0,0799;0,01;;;;;;;;;;;;;;;;
171;171;-2727,686958;18,5293;60,2795;2,5579;;;;0,2206;0,1021;0,0803;0,01;;;;;;;;;;;;;;;;
171;171;-2727,673551;18,5905;63,49;2,5603;;;;0,2209;0,1037;0,0802;0,01;;;;;;;;;;;;;;;;
171;171;-2727,660144;18,6801;64,7995;2,5565;;;;0,2211;0,1047;0,0806;0,01;;;;;;;;;;;;;;;;
171;171;-2727,646736;18,746;65,712;2,5528;;;;0,2213;0,1052;0,0811;0,01;;;;;;;;;;;;;;;;
171;171;-2727,633329;18,7351;66,761;2,5527;;;;0,2211;0,105;0,0817;0,01;;;;;;;;;;;;;;;;
171;171;-2727,619922;18,6989;65,8005;2,5519;;;;0,2212;0,1056;0,0823;0,01;;;;;;;;;;;;;;;;
171;171;-2727,606515;18,6602;64,829;2,5508;;;;0,2213;0,1066;0,0829;0,01;;;;;;;;;;;;;;;;
171;171;-2727,593108;18,6395;65,8781;2,5496;;;;0,2215;0,1079;0,0837;0,01;;;;;;;;;;;;;;;;
171;171;-2727,579701;18,5705;65,4832;2,5504;;;;0,2216;0,11;0,0849;0,01;;;;;;;;;;;;;;;;
171;171;-2727,566294;18,4859;64,5372;2,55;;;;0,2216;0,1138;0,087;0,01;;;;;;;;;;;;;;;;
171;171;-2727,552887;18,4197;63,7427;2,541;;;;0,2221;0,1239;0,0924;0,01;;;;;;;;;;;;;;;;
171;171;-2727,53948;18,3686;62,4836;2,5242;;;;0,2221;0,1335;0,1014;0,2648;;;;;;;;;;;;;;;;
171;171;-2727,526072;18,3314;61,2677;2,5017;;;;0,2221;0,143;0,1129;0,9106;;;;;;;;;;;;;;;;
171;171;-2727,512665;18,3322;61,7234;2,4686;;;;0,2227;0,1542;0,1274;3,157;;;;;;;;;;;;;;;;
171;171;-2727,499258;18,2983;63,4368;2,4345;;;;0,2229;0,166;0,142;6,8079;;;;;;;;;;;;;;;;
171;171;-2727,485851;18,2497;65,8683;2,4009;;;;0,2228;0,1781;0,1565;11,4725;;;;;;;;;;;;;;;;
