TechCSV1.0;;;;;;;;;;;;
#separator;;;;;;;;;;;;
;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;
yes;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY
170;170;-2794,118982;20,7772;87,4907;2,5174;249,04;437,74;710,32;225,2489;0,3089;0,1447;0,01
170;170;-2794,060592;20,7093;85,8644;2,5169;249,17;437,49;710,74;225,5176;0,314;0,147;0,01
170;170;-2794,002202;20,1895;84,0683;2,5191;249,27;437,21;711,1;225,5692;0,3226;0,1487;0,01
170;170;-2793,943813;20,2117;84,6019;2,5252;249,33;436,9;711,39;225,9052;0,3201;0,1473;0,01
170;170;-2793,885423;20,3432;85,4064;2,5306;249,37;436,56;711,37;226,6222;0,317;0,1452;0,01
170;170;-2793,827033;20,591;86,4913;2,5353;249,39;436,19;711,2;227,7358;0,3133;0,1426;0,01
170;170;-2793,768644;21,1453;87,7656;2,5363;249,4;435,77;710,83;227,1349;0,3094;0,1406;0,01
170;170;-2793,710254;21,3593;89,7108;2,5353;249,39;435,32;710,3;226,7988;0,3039;0,1387;0,01
170;170;-2793,651865;21,1116;92,4976;2,5319;249,38;434,84;709,8;226,8841;0,2964;0,1369;0,01
170;170;-2793,593475;21,2876;104,3016;2,5307;249,37;434,37;709,41;225,1703;0,2897;0,1345;0,01
170;170;-2793,535085;21,3199;119,2059;2,5294;249,34;433,97;709,4;224,1926;0,2847;0,1321;0,01
170;170;-2793,476819;21,0672;137,7194;2,5278;249,31;433,66;709,64;224,616;0,2822;0,13;0,01
170;170;-2793,419047;21,437;149,346;2,5284;249,28;433,51;710,21;226,2234;0,2829;0,1293;0,01
170;170;-2793,361275;21,6498;153,8868;2,5285;249,25;433,45;710,93;227,0907;0,2843;0,1297;0,01
170;170;-2793,303502;21,3688;146,8525;2,5273;249,22;433,49;711,64;226,1972;0,2864;0,1319;0,01
170;170;-2793,24573;20,9687;130,4799;2,5288;249,19;433,67;712,21;224,7217;0,2899;0,1346;0,01
170;170;-2793,187957;20,7021;112,8376;2,5305;249,16;433,91;712,52;223,089;0,2924;0,1372;0,01
170;170;-2793,130185;20,8059;97,2065;2,5308;249,12;434,23;712,67;221,3981;0,292;0,1392;0,01
170;170;-2793,072412;21,4108;87,4972;2,5317;249,06;434,47;712,56;221,769;0,2932;0,1408;0,01
170;170;-2793,01464;21,8853;80,9281;2,5322;248,97;434,64;712,28;222,7647;0,2948;0,142;0,01
170;170;-2792,956868;21,4588;78,6766;2,5311;248,85;434,64;711,95;223,8094;0,2964;0,1421;0,01
170;170;-2792,899095;21,1906;77,9051;2,5303;248,73;434,56;711,65;224,3716;0,2927;0,1416;0,0101
170;170;-2792,841323;21,0231;77,863;2,5286;248,64;434,47;711,54;224,5409;0,2881;0,141;0,0103
170;170;-2792,78355;21,0148;78,4483;2,5231;248,58;434,48;711,57;223,8882;0,2874;0,1413;0,0115
170;170;-2792,725778;21,2212;78,1096;2,516;248,58;434,68;711,82;224,4635;0,2839;0,1423;0,0134
170;170;-2792,668006;21,513;77,4234;2,5085;248,66;435,01;712,13;225,4916;0,2809;0,1437;0,0156
170;170;-2792,610233;21,6922;77,2672;2,5026;248,86;435,53;712,46;225,7661;0,289;0,1459;0,0161
170;170;-2792,552461;21,2755;76,5653;2,4991;249,15;436,13;712,76;225,386;0,2936;0,1481;0,0168
170;170;-2792,494688;20,6119;75,686;2,4974;249,51;436,77;713,03;224,5631;0,2961;0,1503;0,0176
170;170;-2792,436916;20,7;76,0749;2,4994;249,91;437,48;713,28;223,2572;0,2974;0,1525;0,0193
170;170;-2792,379144;20,3797;75,9911;2,4996;250,25;438,21;713,5;223,2285;0,2968;0,1545;0,0217
170;170;-2792,321371;19,797;75,6126;2,4983;250,5;438,96;713,74;224,0391;0,2948;0,1562;0,0247
170;170;-2792,263599;19,576;76,0546;2,4965;250,64;439,67;714;223,3772;0,2948;0,1565;0,0253
170;170;-2792,205826;19,7415;76,4187;2,4946;250,71;440,29;714,36;223,7352;0,2947;0,1559;0,0242
