TechCSV1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#separator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;;;;Variable;Variable;Variable;Variable;;;;;;;;;;;;;;;;;;
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD;;;;;;;;;;;;;;;;;;
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2775,105849;20,7557;74,854;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2775,062857;21,1082;74,016;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2775,019865;20,6758;73,1781;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,976873;20,1652;72,4532;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,933881;19,5882;71,8365;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,890889;19,0219;71,9412;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,847897;18,6915;72,1493;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,804905;18,6046;72,4633;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,761914;18,6645;73,0817;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,718922;18,4415;73,3381;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,67593;17,8583;73,1286;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2774,632938;17,3744;72,2457;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
