TechCSV1.0;;;;;;;;;;;;
#separator;;;;;;;;;;;;
;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;
yes;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable
;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY
169;169;-2781,477679;15,154594;100,285677;2,454;458,0767;254,9887;743,586;219,998751;0,2895;0,1718;0,0158
169;169;-2781,447133;15,119129;100,125441;2,445;460,5433;256,1753;744,846;220,53635;0,2875;0,1748;0,0247
169;169;-2781,416587;15,108172;100,241834;2,437;462,206;256,538;746,006;220,861361;0,2862;0,1772;0,0341
169;169;-2781,386041;15,122929;100,648461;2,431;463,1327;256,272;747,0247;220,963329;0,2855;0,1792;0,044
169;169;-2781,355495;15,211061;100,580616;2,43;462,2593;255,292;747,3713;220,519664;0,2863;0,1806;0,0496
169;169;-2781,324949;15,344231;100,290922;2,432;459,838;254,112;747,206;220,152225;0,2875;0,1808;0,0488
169;169;-2781,294403;15,531232;99,741428;2,438;456,2867;252,792;746,6493;219,907737;0,2891;0,1797;0,0401
169;169;-2781,263857;15,656734;99,51109;2,447;451,8533;251,412;745,6427;220,189468;0,2894;0,1772;0,03
169;169;-2781,233311;15,708698;99,441721;2,454;448,72;250,252;744,456;220,477837;0,2888;0,1745;0,0224
169;169;-2781,202765;15,655352;99,576623;2,458;446,6027;249,332;743,1573;220,701656;0,2868;0,1718;0,0188
169;169;-2781,172219;15,509498;99,3918;2,454;445,8293;249,252;741,9307;220,080883;0,2845;0,1711;0,0202
169;169;-2781,141673;15,367599;98,976265;2,448;445,308;249,772;740,984;219,225807;0,2825;0,1718;0,0257
169;169;-2781,111127;15,260066;98,21349;2,439;445,0133;250,702;740,268;218,168852;0,2812;0,1746;0,038
169;169;-2781,080581;15,160486;97,407013;2,432;445,2467;251,722;739,948;217,9482;0,2809;0,1778;0,0541
169;169;-2781,050035;15,058928;96,741161;2,427;445,936;252,522;739,808;218,192346;0,2812;0,1804;0,0677
169;169;-2781,019489;14,948514;96,432585;2,427;446,938;253,128;739,8047;219,105338;0,2821;0,1817;0,0737
169;169;-2780,988943;14,942599;96,377371;2,429;448,018;253,308;739,9513;219,924363;0,2825;0,1817;0,0711
169;169;-2780,958397;14,989203;96,405845;2,432;448,714;253,244;740,242;220,486008;0,2828;0,1811;0,0654
169;169;-2780,927851;15,101473;96,461186;2,435;449,1707;253,012;740,642;220,351362;0,2832;0,1801;0,058
169;169;-2780,897305;15,156332;96,394112;2,435;449,7773;252,732;741,162;219,67899;0,2835;0,1796;0,0543
169;169;-2780,866759;15,161287;96,287671;2,434;450,888;252,368;741,63;218,862166;0,2837;0,1796;0,0534
169;169;-2780,836213;15,054175;96,210427;2,431;452,4133;251,9407;742,0647;218,287494;0,2834;0,1805;0,0578
169;169;-2780,805541;14,922107;96,179433;2,432;454,6467;251,4473;742,5113;218,204269;0,2832;0,1808;0,0596
169;169;-2780,774365;14,77947;96,122564;2,437;456,108;250,854;743,134;218,319781;0,283;0,1803;0,0578
169;169;-2780,74319;14,656183;95,798377;2,449;456,7127;250,208;743,9013;218,217681;0,2831;0,1768;0,0425
169;169;-2780,712015;14,547112;95,258516;2,461;454,2393;249,688;744,9147;217,734908;0,2824;0,1722;0,0296
169;169;-2780,680839;14,463781;94,599034;2,47;452,35;249,496;746,044;217,016656;0,2809;0,1672;0,0193
169;169;-2780,649664;14,529661;94,009651;2,468;451,0087;249,5667;747,2667;216,212391;0,2772;0,1646;0,018
169;169;-2780,618488;14,672995;93,721506;2,459;451,0953;250,0333;748,6333;215,474385;0,2729;0,1649;0,0256
169;169;-2780,587313;14,865779;93,675915;2,445;451,35;250,796;750,156;214,839635;0,2681;0,1674;0,0417
169;169;-2780,556137;14,946652;94,041899;2,43;451,714;251,798;751,8113;215,136682;0,2631;0,1713;0,0902
169;169;-2780,524962;14,924643;94,476604;2,416;452,054;253,178;753,7247;215,835522;0,2591;0,1751;0,1838
169;169;-2780,493786;14,812;94,970844;2,404;452,614;254,642;755,57;216,880787;0,256;0,1788;0,3189
169;169;-2780,462611;14,683293;95,351343;2,393;453,3673;256,1233;757,326;217,054146;0,2559;0,184;0,5826
169;169;-2780,431436;14,596297;95,580817;2,383;454,5407;257,2567;758,686;216,905919;0,2562;0,1885;0,8631
169;169;-2780,40026;14,553771;95,649281;2,376;455,514;258,178;759,87;216,414843;0,2571;0,192;1,1619
169;169;-2780,369085;14,482325;95,413683;2,373;456,2553;258,9553;760,898;216,256365;0,2562;0,1939;1,4027
169;169;-2780,337909;14,421959;95,139496;2,37;456,1087;259,7087;761,578;216,207901;0,2548;0,1949;1,6047
169;169;-2780,306734;14,377484;94,831779;2,368;455,754;260,482;761,982;216,283819;0,2529;0,1947;1,7606
169;169;-2780,275558;14,445112;94,668995;2,366;455,3167;261,2353;762,1707;216,634116;0,2517;0,1942;1,8941
169;169;-2780,244383;14,504816;94,555337;2,365;455,3833;261,6887;762,0773;217,030567;0,2512;0,1938;1,9812
169;169;-2780,213207;14,53496;94,497109;2,364;456,01;261,926;761,948;217,458061;0,2515;0,1935;1,9992
169;169;-2780,182032;14,48879;94,482959;2,364;456,9747;262,0207;761,7793;217,534682;0,2535;0,1938;1,9458
169;169;-2780,150857;14,450629;94,58783;2,365;457,6213;262,1273;761,4727;217,577691;0,2557;0,1943;1,8463
169;169;-2780,119681;14,451331;94,910271;2,366;457,768;262,438;761,114;217,662665;0,2578;0,1948;1,68
169;169;-2780,088506;14,494605;95,263831;2,368;457,582;262,8887;760,7467;217,998435;0,2585;0,1947;1,5181
169;169;-2780,05733;14,545345;95,452039;2,371;457,402;263,3753;760,6133;218,633613;0,2586;0,194;1,3619
169;169;-2780,026155;14,590909;95,222308;2,374;457,474;263,65;760,456;219,857628;0,2582;0,1928;1,2169
169;169;-2779,994979;14,640616;94,376;2,378;457,7447;263,7427;760,2973;221,494469;0,2601;0,1921;1,0614
169;169;-2779,963804;14,657676;93,432295;2,382;458,2913;263,4693;760,2707;222,967989;0,2634;0,1921;0,897
169;169;-2779,932628;14,56971;92,763916;2,386;458,79;263,136;760,504;223,549091;0,2693;0,1934;0,7143
169;169;-2779,901453;14,438186;93,103584;2,39;459,248;262,744;760,9213;223,688461;0,2745;0,1942;0,5468
169;169;-2779,870278;14,330534;93,882209;2,392;459,628;262,184;761,4347;223,783743;0,2786;0,1947;0,4039
169;169;-2779,839102;14,390297;94,853377;2,393;460,268;261,448;761,6;224,402837;0,2794;0,1948;0,336
169;169;-2779,807927;14,543894;95,078409;2,393;461,2027;260,574;761,444;224,824697;0,2791;0,1947;0,3084
169;169;-2779,776751;14,736419;94,806608;2,392;463,2293;259,514;760,484;225,024575;0,2785;0,1946;0,3016
169;169;-2779,745576;14,889385;93,771188;2,392;465,668;258,898;759,34;224,500756;0,2791;0,1947;0,299
